,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avarua,CK,-21.2078,-159.775,84.25,58,75,5.75,broken clouds
1,Albany,US,42.6001,-73.9662,55.63,65,17,1.99,few clouds
2,Vaini,TO,-21.2,-175.2,78.96,65,20,9.22,few clouds
3,Hobart,AU,-42.8794,147.3294,53.02,77,75,9.22,broken clouds
4,Kamien Pomorski,PL,53.9685,14.7726,44.96,66,93,12.41,overcast clouds
5,Nikolskoye,RU,59.7035,30.7861,40.91,86,100,4.27,overcast clouds
6,Mahebourg,MU,-20.4081,57.7,69.26,64,4,15.28,clear sky
7,Port Alfred,ZA,-33.5906,26.891,69.84,46,0,10.38,clear sky
8,Ushuaia,AR,-54.8,-68.3,46.06,61,0,5.75,clear sky
9,Punta Arenas,CL,-53.15,-70.9167,44.11,81,100,6.87,overcast clouds
10,Tuatapere,NZ,-46.1333,167.6833,58.21,64,90,7.45,overcast clouds
11,Rikitea,PF,-23.1203,-134.9692,76.95,74,65,21.85,broken clouds
12,New Norfolk,AU,-42.7826,147.0587,52.92,65,100,7.0,overcast clouds
13,Ugoofaaru,MV,5.6667,73.0,83.1,77,100,22.17,overcast clouds
14,Hermanus,ZA,-34.4187,19.2345,68.92,47,100,5.97,overcast clouds
15,Zhuhai,CN,22.2769,113.5678,79.86,60,0,9.22,clear sky
16,Atuona,PF,-9.8,-139.0333,79.09,70,0,14.61,clear sky
17,Rorvik,NO,64.8621,11.2373,44.74,67,0,7.58,clear sky
18,Gualeguay,AR,-33.1416,-59.3097,50.47,65,23,12.06,few clouds
19,Cairns,AU,-16.9167,145.7667,86.11,68,1,6.91,clear sky
20,Busselton,AU,-33.65,115.3333,63.19,85,100,8.32,overcast clouds
21,Ostrovnoy,RU,68.0531,39.5131,34.21,82,100,15.23,overcast clouds
22,Hokitika,NZ,-42.7167,170.9667,59.47,73,25,2.98,scattered clouds
23,The Valley,AI,18.217,-63.0578,80.82,86,100,16.42,overcast clouds
24,Trinidad,BO,-14.8333,-64.9,60.91,61,75,5.17,broken clouds
25,Ushirombo,TZ,-3.4919,31.9639,66.0,76,80,3.91,broken clouds
26,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,95,75,6.91,broken clouds
27,Bambous Virieux,MU,-20.3428,57.7575,69.22,64,7,15.68,clear sky
28,Mataura,NZ,-46.1927,168.8643,60.48,60,85,5.32,light rain
29,Port Elizabeth,ZA,-33.918,25.5701,68.5,47,0,10.63,clear sky
30,Kodiak,US,57.79,-152.4072,46.35,65,100,2.93,overcast clouds
31,Morehead,US,37.2711,-87.1764,68.79,80,0,0.0,clear sky
32,Lorengau,PG,-2.0226,147.2712,85.86,66,8,9.33,clear sky
33,Hithadhoo,MV,-0.6,73.0833,84.72,69,100,17.22,overcast clouds
34,Ancud,CL,-41.8697,-73.8203,45.18,70,100,8.32,overcast clouds
35,Rangoon,MM,16.8053,96.1561,80.56,94,40,4.61,light rain
36,Namatanai,PG,-3.6667,152.4333,85.06,69,23,5.66,few clouds
37,Hilo,US,19.7297,-155.09,83.28,95,41,10.0,scattered clouds
38,Nurlat,RU,54.4277,50.8051,41.72,90,18,5.14,few clouds
39,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.54,83,77,5.28,broken clouds
40,Rocha,UY,-34.4833,-54.3333,55.26,90,100,25.68,overcast clouds
41,Codrington,AU,-38.2667,141.9667,56.05,64,31,21.03,scattered clouds
42,Warmbad,NA,-28.45,18.7333,65.66,40,16,16.02,few clouds
43,Vila Velha,BR,-20.3297,-40.2925,73.35,94,75,3.44,broken clouds
44,Jamestown,US,42.097,-79.2353,47.84,78,0,6.91,clear sky
45,Klaksvik,FO,62.2266,-6.589,49.12,99,100,23.44,overcast clouds
46,Boshnyakovo,RU,49.6333,142.1667,44.24,93,100,12.39,overcast clouds
47,Villacarrillo,ES,38.1156,-3.0848,64.29,44,67,4.27,broken clouds
48,Nelson Bay,AU,-32.7167,152.15,66.0,54,1,3.0,clear sky
49,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.46,99,99,2.51,moderate rain
50,Airai,TL,-8.9266,125.4092,73.26,54,23,4.16,few clouds
51,Faanui,PF,-16.4833,-151.75,81.54,72,81,12.46,broken clouds
52,East London,ZA,-33.0153,27.9116,68.38,50,0,5.53,clear sky
53,Gayny,RU,60.3071,54.3241,39.54,72,100,9.22,overcast clouds
54,Bathsheba,BB,13.2167,-59.5167,81.21,83,75,17.27,broken clouds
55,Kloulklubed,PW,7.0419,134.2556,79.3,76,100,14.85,overcast clouds
56,Bredasdorp,ZA,-34.5322,20.0403,70.68,30,100,7.96,overcast clouds
57,Kidal,ML,18.4411,1.4078,88.79,13,54,8.57,broken clouds
58,Troitsko-Pechorsk,RU,62.7084,56.1964,36.64,82,100,8.7,overcast clouds
59,Barrow,US,71.2906,-156.7887,15.82,73,100,9.22,light snow
60,Dikson,RU,73.5069,80.5464,33.73,100,100,5.86,overcast clouds
61,Mar Del Plata,AR,-38.0023,-57.5575,53.62,70,40,13.8,light rain
62,Bluff,NZ,-46.6,168.3333,60.8,68,93,13.44,overcast clouds
63,Karratha,AU,-20.7377,116.8463,76.51,81,95,12.77,overcast clouds
64,Cape Town,ZA,-33.9258,18.4232,75.11,39,98,10.0,overcast clouds
65,Katsuura,JP,35.1333,140.3,65.89,78,100,6.82,overcast clouds
66,Kaitangata,NZ,-46.2817,169.8464,59.16,56,75,4.52,moderate rain
67,Nouadhibou,MR,20.931,-17.0347,67.3,78,99,20.22,overcast clouds
68,Ust-Koksa,RU,50.2696,85.6108,62.04,54,5,1.88,clear sky
69,Thompson,CA,55.7435,-97.8558,44.96,56,45,9.17,scattered clouds
70,Nanortalik,GL,60.1432,-45.2371,33.49,91,40,2.28,scattered clouds
71,Lebu,CL,-37.6167,-73.65,51.66,69,7,4.07,clear sky
72,Yellowknife,CA,62.456,-114.3525,53.1,39,100,13.98,overcast clouds
73,Sambava,MG,-14.2667,50.1667,74.61,86,93,12.95,moderate rain
74,Tiksi,RU,71.6872,128.8694,26.04,86,100,10.4,overcast clouds
75,Cedral,MX,23.8,-100.7333,77.61,19,89,14.25,overcast clouds
76,Tasiilaq,GL,65.6145,-37.6368,35.76,98,99,3.38,overcast clouds
77,Dimapur,IN,25.9,93.7333,72.93,97,100,1.41,overcast clouds
78,Saint George,US,37.1041,-113.5841,91.99,10,0,13.8,clear sky
79,Zhigansk,RU,66.7697,123.3711,32.0,82,53,7.85,broken clouds
80,Marystown,CA,47.1666,-55.1483,42.85,100,100,7.0,overcast clouds
81,Butaritari,KI,3.0707,172.7902,82.26,73,13,10.69,few clouds
82,Safford,US,32.834,-109.7076,90.52,6,0,14.97,clear sky
83,Meulaboh,ID,4.1363,96.1285,81.68,75,87,2.06,overcast clouds
84,Linjiang,CN,41.8069,126.9078,62.15,51,100,1.68,overcast clouds
85,Matadi,CD,-5.8167,13.45,74.46,98,51,2.19,broken clouds
86,Araouane,ML,18.9048,-3.5265,83.82,8,0,8.14,clear sky
87,Kirakira,SB,-10.4544,161.9205,84.07,73,27,3.83,scattered clouds
88,Eldorado,BR,-23.7869,-54.2836,44.2,81,4,8.43,clear sky
89,Cidreira,BR,-30.1811,-50.2056,53.04,90,100,33.76,overcast clouds
90,Akcaabat,TR,41.0212,39.5715,55.27,71,0,0.0,clear sky
91,Bonthe,SL,7.5264,-12.505,78.78,86,100,6.87,light rain
92,Christchurch,NZ,-43.5333,172.6333,67.48,67,90,8.05,overcast clouds
93,Norman Wells,CA,65.282,-126.8329,57.24,47,75,8.05,broken clouds
94,Iqaluit,CA,63.7506,-68.5145,18.32,78,74,6.24,broken clouds
95,Porto Velho,BR,-8.7619,-63.9039,75.25,69,0,4.61,clear sky
96,Dekar,BW,-21.5333,21.9333,58.42,54,82,8.52,broken clouds
97,Castro,BR,-24.7911,-50.0119,36.93,76,10,14.18,clear sky
98,Newport,GB,51.5877,-2.9984,54.63,87,29,10.09,scattered clouds
99,Okhotsk,RU,59.3833,143.3,34.77,95,100,3.83,overcast clouds
100,Saldanha,ZA,-33.0117,17.9442,64.6,59,100,19.39,overcast clouds
101,Esperance,AU,-33.8667,121.9,66.04,67,5,19.93,clear sky
102,Necochea,AR,-38.5473,-58.7368,51.06,63,100,15.28,overcast clouds
103,Seymchan,RU,62.8833,152.4333,46.56,49,98,11.12,overcast clouds
104,Riyadh,SA,24.6877,46.7219,78.58,18,0,2.44,clear sky
105,Sweetwater,US,25.7634,-80.3731,81.0,83,20,5.01,few clouds
106,Ixtapa,MX,20.7,-105.2,78.03,73,0,4.61,clear sky
107,Dingle,PH,10.9995,122.6711,85.35,69,100,2.68,overcast clouds
108,Ilulissat,GL,69.2167,-51.1,30.22,80,33,0.0,scattered clouds
109,Longyearbyen,SJ,78.2186,15.6401,28.24,69,20,4.61,few clouds
110,Cuamba,MZ,-14.8031,36.5372,58.75,98,11,3.11,few clouds
